id,title,route,color_mode,component,selector,baseline_url,candidate_url,key_deltas,likely_css_files,baseline_css_sources,candidate_css_sources,suggested_patch_confidence,suggested_css_selector,suggested_declarations,evidence_baseline,evidence_candidate
"11","[Admin Theme][dark] Configuration - H2 Heading style regression vs Drupal 11 Gin","Configuration","dark","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/config","http://drupal-git.ddev.site:8080/admin/config","fontSize: 51.7% | lineHeight: 51.7% | paddingX: -100.0% | width: -88.0% | height: 20.0% | count: -4 (-66.7%)","http://drupal-git.ddev.site:8080/sites/default/files/css/css_KLhKWkd-10fItBI0yB5zU1NVxtsUcnqp3mnSsic0sXw.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_ZSWPcqw2uJ8TwO2JSDqVaNnG8j1lsv-5GNaHe27pT6c.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_KLhKWkd-10fItBI0yB5zU1NVxtsUcnqp3mnSsic0sXw.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","","","","baseline/config__dark__h2.png","candidate/config__dark__h2.png"
"12","[Admin Theme][dark] Configuration - Button style regression vs Drupal 11 Gin","Configuration","dark","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/config","http://drupal-git.ddev.site:8080/admin/config","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_KLhKWkd-10fItBI0yB5zU1NVxtsUcnqp3mnSsic0sXw.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_ZSWPcqw2uJ8TwO2JSDqVaNnG8j1lsv-5GNaHe27pT6c.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_jCbHPfzUcPdgQs_29JjfWM9gg6XXE2s20hWDS4A23gk.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_KLhKWkd-10fItBI0yB5zU1NVxtsUcnqp3mnSsic0sXw.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_4dC1SYlGUw9otHcSNVdS9JWBOtH33AKHMNwPEA-P2Mo.css","medium","button, input, optgroup, select, textarea","font-size: 13.3px; /* current ~14px */ | padding-block: 12.8px; /* current ~20px */ | padding-inline: 16.6px; /* current ~24.5px */","baseline/config__dark__button.png","candidate/config__dark__button.png"
"13","[Admin Theme][light] Content - H2 Heading style regression vs Drupal 11 Gin","Content","light","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","fontSize: 42.1% | lineHeight: 42.1% | paddingX: -100.0% | width: -86.3% | height: 16.7% | count: -4 (-57.1%)","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_WhxHU8DZL74LxfGSFf2PYeW8WoSw4hXM6wcA4ch9vPk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_oH40WXfT6wsKJ8ltIwuWefX9rbkHwYRflLL3Q7PrAZk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","","","","baseline/content__light__h2.png","candidate/content__light__h2.png"
"14","[Admin Theme][light] Content - Text Input style regression vs Drupal 11 Gin","Content","light","Text Input","input[type=""text""], input.form-text","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","paddingY: 57.1% | paddingX: 25.0% | width: -13.4% | height: 20.0%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_WhxHU8DZL74LxfGSFf2PYeW8WoSw4hXM6wcA4ch9vPk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_oH40WXfT6wsKJ8ltIwuWefX9rbkHwYRflLL3Q7PrAZk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","medium","button, input, optgroup, select, textarea","padding-block: 14px; /* current ~22px */ | padding-inline: 24px; /* current ~30px */ | min-height: 40px; /* current ~48px */","baseline/content__light__input-text.png","candidate/content__light__input-text.png"
"15","[Admin Theme][light] Content - Button style regression vs Drupal 11 Gin","Content","light","Button","button, input[type=""submit""], .button","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","fontSize: 5.7% | paddingY: 56.9% | paddingX: 47.3% | width: 136.4% | height: 163.2%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_WhxHU8DZL74LxfGSFf2PYeW8WoSw4hXM6wcA4ch9vPk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_oH40WXfT6wsKJ8ltIwuWefX9rbkHwYRflLL3Q7PrAZk.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","medium","button, input, optgroup, select, textarea","font-size: 13.3px; /* current ~14px */ | padding-block: 12.8px; /* current ~20px */ | padding-inline: 16.6px; /* current ~24.5px */","baseline/content__light__button.png","candidate/content__light__button.png"
"16","[Admin Theme][light] Content - Form Item Wrapper style regression vs Drupal 11 Gin","Content","light","Form Item Wrapper",".form-item","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","width: 96.9% | height: 95.4% | count: -5 (-62.5%)","http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_oH40WXfT6wsKJ8ltIwuWefX9rbkHwYRflLL3Q7PrAZk.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","","","","baseline/content__light__form-item.png","candidate/content__light__form-item.png"
"17","[Admin Theme][light] Content - Table Header Cell style regression vs Drupal 11 Gin","Content","light","Table Header Cell","table thead th","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","fontSize: 14.3% | paddingY: -71.4% | width: 14.0% | height: -12.9%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_oH40WXfT6wsKJ8ltIwuWefX9rbkHwYRflLL3Q7PrAZk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","medium","*","font-size: 14px; /* current ~16px */ | min-height: 55.1px; /* current ~48px */","baseline/content__light__table-header.png","candidate/content__light__table-header.png"
"18","[Admin Theme][light] Content - Table Body Cell style regression vs Drupal 11 Gin","Content","light","Table Body Cell","table tbody td","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","paddingY: -50.0% | width: 697.8% | count: -7 (-87.5%)","http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_oH40WXfT6wsKJ8ltIwuWefX9rbkHwYRflLL3Q7PrAZk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","","","","baseline/content__light__table-cell.png","candidate/content__light__table-cell.png"
"19","[Admin Theme][light] Content - Form Label style regression vs Drupal 11 Gin","Content","light","Form Label","label","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","width: 23.2% | height: -55.6% | count: -5 (-62.5%)","http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_oH40WXfT6wsKJ8ltIwuWefX9rbkHwYRflLL3Q7PrAZk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","","","","baseline/content__light__label.png","candidate/content__light__label.png"
"20","[Admin Theme][dark] Content - H2 Heading style regression vs Drupal 11 Gin","Content","dark","H2 Heading","h2","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","fontSize: 42.1% | lineHeight: 42.1% | paddingX: -100.0% | width: -86.3% | height: 16.7% | count: -4 (-57.1%)","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_WhxHU8DZL74LxfGSFf2PYeW8WoSw4hXM6wcA4ch9vPk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_oH40WXfT6wsKJ8ltIwuWefX9rbkHwYRflLL3Q7PrAZk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","","","","baseline/content__dark__h2.png","candidate/content__dark__h2.png"
"21","[Admin Theme][dark] Content - Text Input style regression vs Drupal 11 Gin","Content","dark","Text Input","input[type=""text""], input.form-text","http://drupal-11.3.10.ddev.site/admin/content","http://drupal-git.ddev.site:8080/admin/content","paddingY: 57.1% | paddingX: 25.0% | width: -13.4% | height: 20.0%","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","http://drupal-11.3.10.ddev.site/sites/default/files/css/css_WhxHU8DZL74LxfGSFf2PYeW8WoSw4hXM6wcA4ch9vPk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_oH40WXfT6wsKJ8ltIwuWefX9rbkHwYRflLL3Q7PrAZk.css | http://drupal-11.3.10.ddev.site/sites/default/files/css/css_92ot4r8VwzMCzBRreiG8ryjZuwyROzI88VVjL7S8YzY.css","http://drupal-git.ddev.site:8080/sites/default/files/css/css_p7oaJLzXhhsfibJzbJI0Ra-m5oxn2dy71jKShr5LIYg.css | http://drupal-git.ddev.site:8080/sites/default/files/css/css_7_4nz4qqwIN9QvB5KqQokLhixB7EvcL2017oSSQXjtk.css","medium","button, input, optgroup, select, textarea","padding-block: 14px; /* current ~22px */ | padding-inline: 24px; /* current ~30px */ | min-height: 40px; /* current ~48px */","baseline/content__dark__input-text.png","candidate/content__dark__input-text.png"
